"","clust","sex","age","aliexpress","evil_incorparate","just_cook","modaguide","sci","vandroukiru","vecherniy.urgant"
"1","1",1,0,0,0,0,0,0,1,0
"2","1",1,0,0,0,1,0,0,0,0
"3","1",2,0,0,0,0,0,1,0,0
"4","1",2,32,0,0,0,0,0,1,0
"5","1",1,0,0,1,0,0,1,0,0
"6","1",1,30,0,1,0,0,1,0,0
"7","1",1,0,0,1,1,0,1,0,0
"8","1",2,0,0,0,0,0,1,0,0
"9","1",1,0,0,0,0,0,1,0,0
"10","1",2,33,0,0,0,0,0,0,1
"11","1",1,0,0,0,0,0,0,1,0
"12","1",1,33,0,0,0,1,0,0,0
"13","1",1,31,0,0,0,0,0,0,1
"14","1",1,30,0,1,0,0,0,0,0
"15","1",1,0,1,0,0,0,0,1,0
"16","1",1,0,0,0,1,0,1,1,0
"17","1",1,0,0,0,0,0,1,0,0
"18","1",1,0,0,0,1,0,0,0,0
"19","1",1,29,0,0,0,0,1,1,0
"20","1",1,0,0,0,0,0,1,1,0
"21","1",1,0,0,1,0,0,0,0,0
"22","1",1,0,0,0,0,0,0,1,0
"23","1",1,0,0,1,1,0,0,1,0
"24","1",2,0,0,1,0,0,1,1,0
"25","1",1,0,0,1,0,1,1,0,1
"26","1",2,0,0,0,0,0,0,1,0
"27","1",1,0,0,0,0,0,1,0,0
"28","1",1,29,0,1,0,0,0,0,0
"29","1",1,0,0,0,0,0,1,0,0
"30","1",1,0,0,0,1,0,0,1,0
"31","1",2,0,0,0,1,0,0,0,0
"32","1",2,0,0,1,0,0,0,1,0
"33","1",1,29,0,1,0,0,0,0,0
"34","1",1,0,0,0,0,0,0,1,0
"35","1",1,0,0,0,0,1,0,0,0
"36","1",1,32,0,0,0,0,0,1,0
"37","1",1,0,0,0,0,0,1,0,0
"38","1",2,0,0,1,0,1,0,1,0
"39","1",1,0,0,0,0,0,1,0,0
"40","1",1,0,0,0,0,0,0,0,1
"41","1",1,31,0,1,0,0,0,0,1
"42","1",1,0,0,0,0,0,0,1,0
"43","1",1,30,0,0,0,0,1,0,0
"44","1",2,0,0,1,0,0,1,0,0
"45","1",1,28,0,1,0,1,1,0,0
"46","1",1,0,0,1,0,0,0,1,0
"47","1",1,28,0,0,0,0,1,0,0
"48","1",2,30,0,0,0,0,1,0,0
"49","1",1,32,0,0,0,0,0,1,0
"50","1",2,0,0,1,1,0,0,0,0
"51","1",1,0,0,0,0,0,1,1,1
"52","1",1,0,0,0,1,1,1,0,0
"53","1",2,0,0,0,0,0,1,0,1
"54","1",2,0,0,0,0,0,0,1,0
"55","1",2,28,0,0,0,0,1,0,0
"56","1",2,29,0,1,0,0,1,1,0
"57","1",2,34,0,1,0,0,0,0,0
"58","1",1,0,0,0,0,1,0,0,0
"59","1",1,29,0,0,0,1,1,1,0
"60","1",1,0,0,1,0,0,1,0,0
"61","1",1,0,0,1,0,0,0,0,0
"62","1",1,29,0,1,0,0,0,1,0
"63","1",1,0,0,1,0,0,1,1,0
"64","1",2,0,0,0,0,0,1,0,0
"65","1",1,0,0,0,0,0,0,1,0
"66","1",1,0,0,1,0,0,0,0,0
"67","1",1,0,0,1,0,0,0,0,0
"68","1",1,0,0,0,0,0,1,0,0
"69","1",1,0,0,1,1,0,0,1,0
"70","1",1,0,0,0,0,0,1,0,1
"71","1",1,0,0,0,0,0,1,0,0
"72","1",1,37,0,0,0,0,1,0,0
"73","1",1,0,0,0,0,1,1,0,1
"74","1",2,30,0,0,0,0,1,0,0
"75","1",1,30,0,1,0,0,0,0,0
"76","1",1,0,0,1,0,0,1,0,0
"77","1",1,29,0,0,0,1,0,0,0
"78","1",1,42,1,0,0,0,0,0,1
"79","1",2,0,0,1,0,0,1,1,0
"80","1",1,27,0,0,0,0,0,1,0
"81","1",2,29,0,0,1,0,1,1,0
"82","1",1,28,1,0,0,0,0,0,0
"83","1",1,0,0,1,0,1,1,0,1
"84","1",2,29,0,0,0,0,0,1,0
"85","1",1,0,0,1,0,0,0,0,0
"86","1",1,0,0,0,0,0,0,1,0
"87","1",2,0,0,0,0,0,1,0,0
"88","1",1,0,0,1,0,0,0,1,0
"89","1",1,0,0,0,0,0,1,0,0
"90","1",1,32,0,0,0,0,0,1,0
"91","1",1,0,0,0,0,0,0,1,0
"92","1",2,0,0,1,0,0,1,0,0
"93","1",2,0,1,0,0,0,0,0,0
"94","1",1,0,1,0,0,1,0,0,0
"95","1",1,39,0,0,0,0,0,1,0
"96","1",1,0,1,0,0,0,0,0,0
"97","1",2,0,0,0,1,0,1,0,0
"98","1",2,35,0,1,0,0,0,0,0
"99","1",1,0,0,0,1,1,1,0,0
"100","1",1,31,0,0,1,0,0,1,0
"101","1",1,0,0,1,0,0,0,0,0
"102","1",1,28,0,0,1,1,0,0,1
"103","1",1,31,0,1,0,0,0,0,0
"104","1",2,31,0,0,0,0,1,0,0
"105","1",1,0,0,1,0,1,0,1,1
"106","1",1,0,0,0,0,0,0,1,0
"107","1",1,35,0,0,0,0,1,1,0
"108","1",2,0,0,0,0,0,0,1,0
"109","1",1,0,0,0,0,0,1,0,1
"110","1",1,31,1,0,0,0,0,1,0
"111","1",1,0,0,0,0,0,1,1,0
"112","1",1,0,0,0,0,0,0,1,0
"113","1",2,0,0,0,0,0,1,1,0
"114","1",1,0,0,1,0,0,0,0,0
"115","1",1,27,0,0,0,0,1,0,0
"116","1",1,30,0,0,0,0,0,0,1
"117","1",1,31,0,0,0,0,0,1,0
"118","1",1,35,0,0,0,1,0,0,0
"119","1",1,29,0,0,0,0,1,1,0
"120","1",2,0,0,0,0,0,1,0,0
"121","1",1,30,0,0,0,0,1,0,0
"122","1",1,33,1,0,0,0,0,1,0
"123","1",1,31,0,0,0,1,0,1,1
"124","1",2,27,0,0,0,0,1,0,0
"125","1",1,0,0,0,0,0,1,0,0
"126","1",1,0,0,1,0,0,0,0,0
"127","1",1,0,0,0,0,0,0,1,0
"128","1",1,27,0,0,0,0,1,0,1
"129","1",1,35,0,0,1,0,0,0,0
"130","1",1,0,1,1,1,0,0,1,0
"131","1",1,0,0,0,0,0,0,1,0
"132","1",2,31,0,0,0,0,1,0,0
"133","1",2,31,0,1,0,0,0,0,0
"134","1",1,28,0,0,1,0,0,0,0
"135","1",1,0,0,1,0,0,0,0,0
"136","1",1,0,0,0,0,1,0,0,0
"137","1",1,27,0,0,1,0,0,0,1
"138","1",2,0,1,0,0,0,0,1,0
"139","1",2,0,0,0,0,0,1,0,1
"140","1",1,28,0,0,0,1,0,1,0
"141","1",1,0,1,0,0,1,0,1,0
"142","1",1,29,0,1,1,0,1,1,0
"143","1",2,0,0,1,0,0,0,1,0
"144","1",2,0,0,1,0,0,0,0,0
"145","1",1,0,0,0,0,1,0,0,0
"146","1",1,0,0,0,0,1,0,1,1
"147","1",1,0,1,1,0,1,0,0,0
"148","1",1,0,0,1,0,1,1,0,0
"149","1",2,0,0,0,0,0,0,1,0
"150","1",1,0,0,0,0,0,0,1,0
"151","1",1,32,0,0,0,1,0,0,0
"152","1",1,0,0,0,0,0,1,1,1
"153","1",1,0,0,1,1,0,0,0,0
"154","1",1,31,1,0,0,0,0,0,0
"155","1",1,0,0,0,0,1,0,0,0
"156","1",2,0,0,0,0,0,0,1,0
"157","1",1,28,0,0,0,0,0,0,1
"158","1",1,34,0,0,0,0,1,0,0
"159","1",1,27,1,0,0,0,1,1,0
"160","1",1,29,0,0,0,0,1,0,0
"161","1",1,0,0,0,1,0,0,0,1
"162","1",1,34,0,0,0,0,0,1,0
"163","1",2,42,0,0,0,0,1,0,0
"164","1",1,0,1,0,0,0,0,0,0
"165","1",1,0,1,0,0,1,0,0,0
"166","1",1,27,0,1,0,0,0,0,0
"167","1",1,0,0,1,0,0,1,0,0
"168","1",2,0,0,0,0,0,0,1,0
"169","1",1,30,0,0,0,0,1,0,0
"170","1",1,27,0,1,1,0,0,1,0
"171","1",1,30,0,1,1,0,0,0,0
"172","1",1,0,0,0,0,0,0,1,0
"173","1",1,27,0,0,0,1,1,1,0
"174","1",1,0,0,0,0,0,1,0,0
"175","1",1,0,0,0,0,0,0,0,1
"176","1",1,0,0,1,0,0,1,1,0
"177","1",1,0,0,0,0,0,0,1,0
"178","1",1,0,0,0,0,0,0,1,0
"179","1",2,0,0,0,0,0,1,0,0
"180","1",1,0,0,0,0,1,0,0,0
"181","1",1,27,0,1,0,0,1,0,0
"182","1",1,0,0,0,1,0,0,0,0
"183","1",1,0,1,0,0,0,0,0,0
"184","1",1,0,0,1,0,0,0,0,0
"185","1",1,0,0,0,1,0,0,0,0
